GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph40_0_79;52.659390449523926;3.0;3.0;0.0;optimal;91;100;40;0
data_Graph40_1_17;48.48876404762268;3.0;3.0;0.0;optimal;91;100;40;1
data_Graph70_1_41;127.41734075546265;3.0;3.0;0.0;optimal;94;100;70;1
data_Graph40_2_79;109.4824333190918;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph50_0_17;57.90147805213928;3.0;3.0;0.0;optimal;92;100;50;0
data_Graph50_1_41;55.355894327163696;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph50_0_41;57.66342377662659;3.0;3.0;0.0;optimal;93;100;50;0
data_Graph40_2_41;44.74746584892273;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph80_2_43;4171.450033426285;None;None;0;infeasible;93;100;80;2
data_Graph50_1_79;73.22231793403625;3.0;3.0;0.0;optimal;92;100;50;1
data_Graph80_2_41;565.0636732578278;None;None;0;infeasible;93;100;80;2
data_Graph60_0_41;97.63280177116394;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph60_0_79;79.88581609725952;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph90_0_17;373.91742992401123;3.0;3.0;0.0;optimal;96;100;90;0
data_Graph80_0_17;227.12137079238892;3.0;3.0;0.0;optimal;96;100;80;0
data_Graph40_2_7;44116.85661673546;5.0;5.0;0.0;optimal;89;100;40;2
data_Graph40_0_43;51.76722168922424;3.0;3.0;0.0;optimal;91;100;40;0
data_Graph90_0_43;234.1112630367279;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph90_1_43;1974.7691094875336;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph60_0_43;78.54495453834534;3.0;3.0;0.0;optimal;94;100;60;0
data_Graph90_0_79;1480.3476161956787;3.0;3.0;0.0;optimal;96;100;90;0
data_Graph90_1_7;60285.91435098648;3.0;3.0;0.0;optimal;96;100;90;1
data_Graph40_2_41;7908.260830640793;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph90_2_17;376.28713631629944;None;None;0;infeasible;94;100;90;2
data_Graph80_2_79;902.9268472194672;None;None;0;infeasible;94;100;80;2
data_Graph90_0_43;248.95828700065613;3.0;3.0;0.0;optimal;97;100;90;0
data_Graph70_2_41;50019.870681762695;5.0;5.0;0.0;optimal;93;100;70;2
data_Graph60_2_7;20896.550104618073;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph70_0_43;153.66647934913635;3.0;3.0;0.0;optimal;95;100;70;0
data_Graph40_1_7;58.587008476257324;3.0;3.0;0.0;optimal;90;100;40;1
data_Graph70_2_7;42016.79203772545;None;None;0;infeasible;93;100;70;2
