GRAPH;TIME(s);LOWER BOUND;UPPER BOUND;GAP;TERMINATION CONDITION;CAPACITY;LENGTH;PROBABILITY;MINCAPACITY
data_Graph50_1_17;1236.893116235733;3.0;3.0;0.0;optimal;91;100;50;1
data_Graph40_2_43;1419.3969116210938;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph40_2_7;1346.1641149520874;5.0;5.0;0.0;optimal;89;100;40;2
data_Graph50_2_43;90.57707071304321;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph50_2_43;63.34567141532898;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph50_2_79;250.41722297668457;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph50_2_7;376.38643765449524;None;None;0;infeasible;90;100;50;2
data_Graph50_1_17;2301.628006219864;3.0;3.0;0.0;optimal;91;100;50;1
data_Graph50_2_7;383.1342763900757;None;None;0;infeasible;90;100;50;2
data_Graph50_2_7;333.8112711906433;None;None;0;infeasible;90;100;50;2
data_Graph60_1_17;76.36597514152527;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_17;132.54640007019043;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_17;225.0442132949829;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_41;112.43951368331909;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_41;64.50664830207825;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_41;79.77876377105713;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_43;67.34947419166565;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_43;71.91455841064453;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_43;73.4702889919281;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_79;86.3152871131897;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_79;100.37400937080383;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_79;245.60046291351318;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_7;166.0823175907135;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_1_7;82.37169241905212;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph50_2_79;2920.2426297664642;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph50_2_43;2985.0363867282867;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph50_2_79;3037.1085085868835;3.0;3.0;0.0;optimal;91;100;50;2
data_Graph60_1_7;261.14315819740295;3.0;3.0;0.0;optimal;93;100;60;1
data_Graph60_2_41;218.24875235557556;3.0;3.0;0.0;optimal;92;100;60;2
data_Graph60_2_17;2506.157835960388;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph60_2_41;2606.6232013702393;3.0;3.0;0.0;optimal;92;100;60;2
data_Graph60_2_17;2914.385723590851;5.0;5.0;0.0;optimal;92;100;60;2
data_Graph50_1_7;7093.455329179764;5.0;5.0;0.0;optimal;91;100;50;1
data_Graph40_2_41;7891.84023976326;3.0;3.0;0.0;optimal;89;100;40;2
data_Graph60_2_79;344.32011795043945;None;None;0;infeasible;92;100;60;2
data_Graph60_2_43;2989.6975090503693;None;None;0;infeasible;92;100;60;2
data_Graph60_2_79;2170.9245522022247;None;None;0;infeasible;92;100;60;2
data_Graph60_2_79;2969.668649673462;None;None;0;infeasible;92;100;60;2
data_Graph50_2_41;12880.690927028656;5.0;5.0;0.0;optimal;91;100;50;2
data_Graph70_1_17;565.9200251102448;None;None;0;infeasible;93;100;70;1
